DW_Tract2020,TotalPermits,TotalJobValue,Housing_Permits,Businesses_Permits,Institutional Care_Permits,Food_Permits,Recreation_Permits,Educational_Permits,Hazard_Permits,TotalDemolitionPermits,TotalDemolitionJobValue,ResidentialPermits,CommercialPermits,Total_per_1000,Violent_per_1000,Nonviolent_per_1000,Vice_per_1000,Window,OtherPermits
39035101101,18.0,69390.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.209632077332884,4.88211188062439,7.466075585958023,0.8614446107504689,2017-12-31 to 2018-05-31,13.0
39035101101,18.0,83490.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.182485827130126,6.128260885726928,9.384039774087745,0.6701851673154493,2018-01-31 to 2018-06-30,13.0
39035101101,19.0,84590.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.336601334032487,6.99259669177597,9.673819474941068,0.6701851673154493,2018-02-28 to 2018-07-28,12.0
39035101101,15.0,76190.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.342164858016787,8.049046422512646,8.718636969529342,0.5744814659747999,2018-03-31 to 2018-08-31,10.0
39035101101,11.0,74690.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.731252412474984,7.667568242044908,9.967906374915668,0.0957777955144065,2018-04-30 to 2018-09-30,6.0
39035101101,10.0,37075.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77978956098366,7.478984464499739,9.108878028769652,0.1919270677142685,2018-05-31 to 2018-10-31,5.0
39035101101,12.0,50187.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.388135067264164,6.521950902281536,7.5782563292622145,0.2879278357204126,2018-06-30 to 2018-11-30,6.0
39035101101,12.0,63987.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.682388036768495,5.853033162854038,8.25331294501315,0.5760419289013122,2018-07-31 to 2018-12-31,6.0
39035101101,13.0,63987.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.784048487216207,5.088153996690804,8.927701915517543,0.7681925750078598,2018-08-31 to 2019-01-31,7.0
39035101101,13.0,63987.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02129574455748,5.089644520203917,8.163458649345703,0.7681925750078598,2018-09-30 to 2019-02-28,7.0
39035101101,15.0,116462.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3750.0,1.0,0.0,13.546885419143049,4.227277936424146,8.743341975425313,0.5762655072935912,2018-10-31 to 2019-03-31,9.0
39035101101,14.0,93550.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16450.0,2.0,0.0,16.340051336148015,4.997896550423809,10.86189004643676,0.4802647392874472,2018-11-30 to 2019-04-30,9.0
39035101101,12.0,99210.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16450.0,2.0,0.0,15.961875212813156,4.711276457469494,11.058448109237112,0.1921506461065475,2018-12-31 to 2019-05-31,9.0
39035101101,19.0,169922.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25248.0,4.0,0.0,16.160193401487525,4.520994763656227,11.6391986378313,0.0,2019-01-31 to 2019-06-30,12.0
39035101101,24.0,185172.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25248.0,4.0,0.0,18.76496090118149,5.774386988495097,12.60537517421226,0.3851987384741315,2019-02-28 to 2019-07-28,16.0
39035101101,21.0,135522.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21498.0,3.0,0.0,19.15573801975842,6.064708831865286,12.416818909027633,0.6742102788655012,2019-03-31 to 2019-08-31,13.0
39035101101,22.0,150922.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8798.0,2.0,0.0,16.6591749542373,5.296333838943558,10.688630836428242,0.6742102788655012,2019-04-30 to 2019-09-30,12.0
39035101101,31.0,186962.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8798.0,2.0,0.0,17.436472312149714,6.261956248971332,10.307481266675468,0.8670347965029188,2019-05-31 to 2019-10-31,11.0
39035101101,31.0,182338.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13000.0,1.0,0.0,17.153314370725365,6.263832486779149,10.022447087443297,0.8670347965029188,2019-06-30 to 2019-11-30,11.0
39035101101,29.0,221088.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13000.0,1.0,0.0,15.619279136908435,4.916951292135167,10.027516877502997,0.6748109672702753,2019-07-31 to 2019-12-31,8.0
39035101101,30.0,223949.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13000.0,1.0,0.0,14.081078833530013,4.339679876930987,9.35559952972012,0.3857994268789055,2019-08-31 to 2020-01-31,11.0
39035101101,27.0,1103249.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13000.0,1.0,0.0,13.988841513760914,4.340808254680996,9.262233832201012,0.3857994268789055,2019-09-30 to 2020-02-29,11.0
39035101101,19.0,1078949.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22000.0,2.0,0.0,14.189570838528,4.054394623628324,9.749000368633643,0.3861758462660326,2019-10-31 to 2020-03-31,12.0
39035101101,12.0,1133221.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9000.0,1.0,0.0,14.871688927193636,4.442830984290163,9.75276750064551,0.6760904422579633,2019-11-30 to 2020-04-30,8.0
39035101101,14.0,1619885.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9000.0,1.0,0.0,16.03858655926781,5.894289884554562,9.4678292250959,0.6764674496173486,2019-12-31 to 2020-05-31,11.0
39035101101,13.0,1620924.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9000.0,1.0,0.0,18.459637311502703,7.152323205210034,10.63084665667532,0.6764674496173486,2020-01-31 to 2020-06-30,10.0
39035101101,17.0,751624.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9000.0,1.0,0.0,19.14105183847841,8.314474789332817,10.053358033362272,0.773219015783326,2020-02-29 to 2020-07-29,12.0
39035101101,18.0,736679.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.34256639739532,8.607677222007418,10.15487109662912,0.5800180787587814,2020-03-31 to 2020-08-31,13.0
39035101101,20.0,621319.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05908098795718,8.223015364573213,10.545962140617116,0.2901034827668506,2020-04-30 to 2020-09-30,15.0
39035101101,16.0,88324.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.712051788383526,6.774200681726287,10.744234340525164,0.1936167661320745,2020-05-31 to 2020-10-31,12.0
39035101101,14.0,295824.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.878846551720562,6.196001484600179,9.489228300988309,0.1936167661320745,2020-06-30 to 2020-11-30,9.0
39035101101,15.0,292704.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.981284260106063,5.23000212753228,10.654416932607688,0.0968651999660971,2020-07-31 to 2020-12-31,12.0
